,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
49,1.0,9,300,1000,6,True,0.09330275948117643,0.3376220455305747,5,4,[1.50690202 2.99089086] [1.89059834 1.38678345] [3.30365292 1.96156969] [1.72076424 0.05087843] [ 0.18962601 -1.02933411],[0.50216914 0.13730725 0.20144145 0.15510887 0.00074016 0.00323313],[[1.14272028 0.06898943]  [0.06898943 1.53401509]] [[0.67853819 0.03467134]  [0.03467134 0.24867429]] [[ 0.33533404 -0.1598091 ]  [-0.1598091   2.62801477]] [[ 1.35090996 -0.27659019]  [-0.27659019  0.75794855]] [[1.72147505 1.62530831]  [1.62530831 3.67923693]],5,"{0: 562, 1: 188, 2: 274, 3: 172, 4: 0, 5: 4}",1,0,1
50,1.0,10,300,1000,6,True,0.008000169817791397,0.028145319503947157,3,3,[1.96106345 2.2497476 ] [1.3852205  0.05870726] [-0.81037269  1.40137634],[0.84904651 0.00088976 0.00088445 0.12189436 0.00085204 0.02643288],[[ 1.18889215 -0.22435096]  [-0.22435096  2.20681177]] [[0.7418078  0.00991867]  [0.00991867 1.06420957]] [[ 1.23783116 -0.05230228]  [-0.05230228  1.53701257]],3,"{0: 1082, 1: 0, 2: 0, 3: 96, 4: 0, 5: 22}",1,0,0
51,1.0,11,300,1000,6,True,-0.00030789815675466423,0.006847650982141682,2,2,[2.33325939 1.91077132] [0.49179667 2.41631528],[8.47026750e-01 8.89349755e-04 1.51337447e-01 4.28506483e-04 2.12230957e-04 1.05715365e-04],[[0.89789176 0.07668936]  [0.07668936 2.54516246]] [[0.78210924 0.06678717]  [0.06678717 1.91094274]],2,"{0: 1054, 1: 0, 2: 146, 3: 0, 4: 0, 5: 0}",1,0,1
52,1.0,12,300,1000,6,True,0.07735803088824597,0.2412394164124184,5,5,[2.67182836 2.80514812] [1.58771121 2.92442943] [1.55596821 2.67375377] [1.52588209 1.07505197] [2.07021706 0.17371107],[0.30443848 0.26369288 0.09428631 0.11800458 0.21915087 0.00042688],[[ 0.45289296 -0.18352301]  [-0.18352301  1.6527437 ]] [[ 2.06731753 -0.06194164]  [-0.06194164  2.03331971]] [[ 0.36398649 -0.22377742]  [-0.22377742  0.36727615]] [[ 0.47980818 -0.08243369]  [-0.08243369  0.3108144 ]] [[1.15933501 0.16472839]  [0.16472839 1.0133876 ]],5,"{0: 462, 1: 164, 2: 134, 3: 180, 4: 260, 5: 0}",2,0,0
53,1.0,13,300,1000,6,True,0.1112186072368267,0.3176648809149619,6,6,[1.4011886  2.71783089] [1.51475829 0.7681003 ] [3.23787189 1.14443988] [3.10347511 3.04390567] [ 2.14832039 -0.57005963] [0.50677208 5.12757275],[0.33136693 0.22182503 0.08725862 0.26873201 0.07903708 0.01178034],[[ 1.00086822 -0.13743844]  [-0.13743844  1.00140173]] [[ 0.89469859 -0.09053219]  [-0.09053219  0.58952379]] [[ 0.72780648 -0.30947977]  [-0.30947977  0.53932846]] [[ 1.02891623 -0.06473442]  [-0.06473442  1.43511473]] [[ 2.00280063 -0.55163743]  [-0.55163743  1.45097728]] [[ 0.85553528 -0.78904684]  [-0.78904684  3.29323165]],6,"{0: 416, 1: 300, 2: 124, 3: 286, 4: 64, 5: 10}",2,0,1
54,1.0,14,300,1000,6,True,0.07801920454222643,0.2340464069711749,4,4,[0.44398574 2.08698565] [2.63635365 0.8417386 ] [2.58897701 2.97016622] [1.68447878 1.89452288],[0.16352859 0.29585378 0.3387312  0.00088981 0.00088584 0.20011078],[[ 0.33446256 -0.09240705]  [-0.09240705  2.28418775]] [[ 1.23146809 -0.07004957]  [-0.07004957  1.40428334]] [[ 0.80161155 -0.21427655]  [-0.21427655  1.5260292 ]] [[ 0.1014878  -0.10557771]  [-0.10557771  2.36113343]],4,"{0: 212, 1: 280, 2: 368, 3: 0, 4: 0, 5: 340}",2,0,0
55,1.0,15,300,1000,6,True,0.10138131417761616,0.4589943314644706,3,3,[2.38514319 2.87924554] [0.47106257 2.00642895] [2.22601897 0.70661781],[5.17557625e-01 1.57040858e-01 3.24649553e-01 4.31716821e-04 2.13772887e-04 1.06474639e-04],[[0.95156398 0.02884814]  [0.02884814 1.55671865]] [[0.40248588 0.0248143 ]  [0.0248143  2.4507281 ]] [[1.05551116 0.13359047]  [0.13359047 1.30886591]],3,"{0: 628, 1: 196, 2: 376, 3: 0, 4: 0, 5: 0}",1,0,0
56,1.0,16,300,1000,6,True,0.17210647194578074,0.7625138819748505,2,2,[2.05341571 1.10609139] [1.79356488 2.98001697],[5.38033268e-01 4.61158768e-01 4.33086592e-04 2.14562763e-04 1.06926234e-04 5.33886777e-05],[[1.42995073 0.19170291]  [0.19170291 1.60400799]] [[1.39530829 0.15017149]  [0.15017149 1.49215736]],2,"{0: 662, 1: 538, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
57,1.0,17,300,1000,6,True,0.1008461208957044,0.4363141840075315,4,3,[4.42424497 3.31937201] [1.69725717 2.86862791] [1.45480928 3.9219101 ] [2.02284492 1.20051604],[6.43969464e-03 1.55621927e-01 1.96612005e-01 6.40681528e-01 4.31494882e-04 2.13350403e-04],[[3.23330852 1.62533908]  [1.62533908 1.98276105]] [[1.38622587 0.38571186]  [0.38571186 0.30847784]] [[ 1.29962295 -0.01088035]  [-0.01088035  0.98676152]] [[1.27597928 0.18151868]  [0.18151868 1.53311787]],4,"{0: 4, 1: 258, 2: 210, 3: 728, 4: 0, 5: 0}",2,2,0
58,1.0,18,300,1000,6,True,0.011226741838347912,0.06786936164990688,4,4,[2.45730245 1.88344211] [0.90062502 2.41348916] [1.50203856 0.36679187] [3.77527975 2.53481287],[0.37908934 0.32816984 0.14060504 0.00088622 0.15082512 0.00042443],[[ 0.54882233 -0.53506809]  [-0.53506809  2.45448557]] [[0.73362352 0.38435398]  [0.38435398 2.10786547]] [[0.10183057 0.04084793]  [0.04084793 1.43310928]] [[ 0.68143277 -0.00926568]  [-0.00926568  2.66801417]],4,"{0: 492, 1: 374, 2: 180, 3: 0, 4: 154, 5: 0}",3,0,2
