Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
context,1.6e-07,11,300,3000,6,True,0.5544044375032529,0.6990442466593795,4,4,[ 3.27315290e+00 -2.88405378e-03] [1.71760603 4.95010706] [1.16171158 4.96758555] [ 1.47409127 -0.03238504],[1.96221304e-01 1.16467757e-01 3.87820120e-01 8.85728493e-04 2.98605090e-01 1.32189110e-10],[[ 0.51034375 -0.03084769]  [-0.03084769  0.80900586]] [[0.20856309 0.09420475]  [0.09420475 1.45355304]] [[ 0.72052674 -0.07189028]  [-0.07189028  0.63676092]] [[ 0.82474946 -0.05661497]  [-0.05661497  0.68231426]],4,"{0: 242, 1: 40, 2: 564, 3: 0, 4: 354, 5: 0}",1,0,1
base,1.6e-07,12,300,3000,6,True,0.4834770131379304,0.9386234489224133,4,4,[-0.00544541  4.93794398] [ 1.31444813 -0.00256   ] [1.3526329  5.02183665] [-0.25067646  1.20766361],[3.46405176e-02 4.83308795e-01 4.65328800e-01 1.67218878e-02 1.26591054e-10 2.02545656e-17],[[ 0.53248429 -0.39908692]  [-0.39908692  1.64687348]] [[0.54625938 0.0496686 ]  [0.0496686  0.81225604]] [[0.50812981 0.020862  ]  [0.020862   0.81409594]] [[0.51521403 0.30886698]  [0.30886698 1.21114837]],4,"{0: 20, 1: 582, 2: 580, 3: 18, 4: 0, 5: 0}",1,1,0
contextless,1.6e-07,12,300,3000,6,True,0.49604634322521524,0.9868333185925544,3,3,[3.09897294 0.01008395] [1.26178511 5.0233749 ] [1.37516234 1.20532389],[8.93578015e-04 4.87987047e-01 4.98545021e-01 1.25743539e-02 1.24660640e-10 1.99456996e-17],[[0.56700849 0.02442994]  [0.02442994 0.81938442]] [[ 0.63253416 -0.01462419]  [-0.01462419  0.84454787]] [[ 0.44000858 -0.10195984]  [-0.10195984  1.69174022]],3,"{0: 0, 1: 592, 2: 600, 3: 8, 4: 0, 5: 0}",0,0,0
context,1.6e-07,12,300,3000,6,True,0.5929593434128063,0.7313407959817375,4,4,[0.04969817 4.75704363] [1.33188502 5.02721261] [3.10852734 0.04991061] [1.32533194 0.01871051],[0.0279944  0.00088886 0.47336911 0.23324289 0.00088343 0.26362132],[[ 0.72435597 -0.66668327]  [-0.66668327  1.73286042]] [[0.53379054 0.0094445 ]  [0.0094445  0.82424766]] [[ 0.57923056 -0.01043132]  [-0.01043132  0.80612432]] [[ 0.7041502  -0.03283715]  [-0.03283715  0.90090132]],4,"{0: 12, 1: 0, 2: 588, 3: 279, 4: 0, 5: 321}",2,1,1
base,1.6e-07,13,300,3000,6,True,0.4610370624673581,0.8705450902516432,5,5,[1.30785152 5.06552014] [1.33109751 0.05889064] [2.06589802 2.80604243] [ 1.12681825 -0.43826627] [0.23227555 5.88246372],[0.46407959 0.41041438 0.03457617 0.0008769  0.07855346 0.0114995 ],[[0.80975741 0.09394188]  [0.09394188 0.56555229]] [[0.82551706 0.09787991]  [0.09787991 0.48915299]] [[ 0.45781916 -0.1366291 ]  [-0.1366291   1.02906265]] [[ 0.92206355 -0.91233223]  [-0.91233223  1.9612244 ]] [[ 0.4659561  -0.76442072]  [-0.76442072  3.76240808]],5,"{0: 568, 1: 550, 2: 30, 3: 0, 4: 44, 5: 8}",1,1,0
contextless,1.6e-07,13,300,3000,6,True,0.46106602008607467,0.8707674882513812,5,5,[1.33506336 5.06552757] [ 3.05863259 -0.78903619] [3.24262551 2.58161118] [3.13212453 0.086709  ] [0.88216896 4.32595792],[4.47060822e-01 7.25225248e-02 2.19809454e-02 4.10507920e-01 4.79277873e-02 1.30299921e-10],[[0.82752862 0.0985886 ]  [0.0985886  0.56816722]] [[ 0.75613928 -0.66190004]  [-0.66190004  1.35754274]] [[ 1.33822838 -0.85161047]  [-0.85161047  1.34406721]] [[0.83324552 0.09268396]  [0.09268396 0.49415808]] [[ 0.61899314 -1.16386276]  [-1.16386276  3.53123975]],5,"{0: 572, 1: 40, 2: 18, 3: 546, 4: 24, 5: 0}",0,0,0
context,1.6e-07,13,300,3000,6,True,0.4603090517204007,0.8660513846869361,6,5,[0.71107284 4.4877522 ] [ 3.09340201 -0.22402793] [2.05952708 0.03814157] [0.31451791 2.44940534] [2.0729936  3.74019858] [1.37235272 5.08385397],[0.05993715 0.08356901 0.40816673 0.00570079 0.02432532 0.418301  ],[[ 0.50174651 -0.75991248]  [-0.75991248  1.96442352]] [[1.15333931 0.07638022]  [0.07638022 2.13792507]] [[1.56508589 0.07329874]  [0.07329874 0.5122355 ]] [[ 1.24756564 -0.28037744]  [-0.28037744  1.92285028]] [[ 1.00490471 -1.7152215 ]  [-1.7152215   5.04544261]] [[0.81333618 0.09971562]  [0.09971562 0.54047327]],6,"{0: 31, 1: 37, 2: 557, 3: 4, 4: 13, 5: 558}",2,1,1
base,1.6e-07,14,300,3000,6,True,0.271840753141099,0.3789104822068858,6,6,[0.20703482 0.19764299] [1.07456043 4.87506373] [0.183281   4.90367585] [ 1.15575538 -0.10308596] [2.10812259 0.06298486] [1.80771568 5.07270744],[0.0978243  0.14861202 0.08756023 0.23499091 0.17012928 0.26088326],[[0.20325331 0.02576665]  [0.02576665 0.91470118]] [[ 0.09288632 -0.07849173]  [-0.07849173  0.86653115]] [[ 0.19373768 -0.14697086]  [-0.14697086  0.6943272 ]] [[ 0.14750838 -0.03407553]  [-0.03407553  0.81477123]] [[ 0.33025143 -0.19669012]  [-0.19669012  0.80553034]] [[ 0.46162828 -0.17709913]  [-0.17709913  0.76367614]],6,"{0: 108, 1: 214, 2: 108, 3: 310, 4: 186, 5: 274}",5,2,3
contextless,1.6e-07,14,300,3000,6,True,0.49937369519832986,0.9933388889506688,2,2,[1.30478727 4.98846306] [ 3.09431575e+00 -2.20424277e-03],[0.00089494 0.00089413 0.49790422 0.00089363 0.00089008 0.498523  ],[[ 0.67571253 -0.10279847]  [-0.10279847  0.75952882]] [[ 0.68419915 -0.10040143]  [-0.10040143  0.79380375]],2,"{0: 0, 1: 0, 2: 600, 3: 0, 4: 0, 5: 600}",0,0,0
context,1.6e-07,14,300,3000,6,True,0.5607612049012104,0.7529472344345146,3,3,[1.12529318 0.00418124] [1.30405239 4.99044075] [2.94091772 0.00586344],[2.07292102e-01 4.97808554e-01 2.94899344e-01 1.32708208e-10 2.12333105e-17 3.39732918e-24],[[ 0.54745425 -0.06697009]  [-0.06697009  0.86046589]] [[ 0.67612414 -0.09857218]  [-0.09857218  0.75608128]] [[ 0.79304376 -0.12948103]  [-0.12948103  0.79312309]],3,"{0: 249, 1: 599, 2: 352, 3: 0, 4: 0, 5: 0}",1,0,1
