,Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits,RandomGroup
1083,base,1.6e-07,362,300,3000,6,True,0.4366951658341417,0.7851177106482791,3,3,[1.18369243 5.00300062] [1.95540896 0.01227155] [0.8122719  0.01970199],[8.94012223e-04 4.95555079e-01 1.68399079e-01 3.35151829e-01 1.32563287e-10 2.12101228e-17],[[0.71723944 0.08244908]  [0.08244908 0.63817623]] [[0.39495008 0.0230845 ]  [0.0230845  1.16359057]] [[0.43569248 0.11598771]  [0.11598771 0.55389179]],3,"{0: 0, 1: 596, 2: 184, 3: 420, 4: 0, 5: 0}",1,0,1,5
1084,contextless,1.6e-07,362,300,3000,6,True,0.4335857191600399,0.7688206409642109,4,4,[ 3.13398794 -0.00895918] [1.18333486 5.01329493] [ 1.97607141 -0.01160404] [2.03090915 0.89459215],[1.65682649e-01 4.90940362e-01 3.06857319e-01 8.75831519e-04 3.56438384e-02 1.26928836e-10],[[ 0.44842542 -0.0072178 ]  [-0.0072178   0.77186404]] [[0.72380262 0.08156284]  [0.08156284 0.62594954]] [[0.4358466  0.09805344]  [0.09805344 0.54273902]] [[ 0.34603313 -0.84672707]  [-0.84672707  3.69209204]],4,"{0: 176, 1: 594, 2: 412, 3: 0, 4: 18, 5: 0}",2,0,2,5
1085,context,1.6e-07,362,300,3000,6,True,0.4918405204677197,0.9703412480104101,3,3,[2.03493449 3.34376395] [ 1.78224349 -0.02349207] [1.14389306 5.0384758 ],[8.95328797e-04 2.82067805e-02 8.90957301e-04 4.94300819e-01 4.75706114e-01 1.32651933e-10],[[0.35167141 0.40474193]  [0.40474193 1.81158514]] [[1.0747962  0.05353675]  [0.05353675 0.66749519]] [[0.68989794 0.11474802]  [0.11474802 0.59951143]],3,"{0: 0, 1: 18, 2: 0, 3: 598, 4: 584, 5: 0}",0,0,0,5
1086,base,1.6e-07,363,300,3000,6,True,0.4893405459311644,0.9671162984215652,4,4,[1.16655122 5.09374848] [1.55028062 0.1365457 ] [1.15168367 0.09129858] [1.56792029 4.99799275],[0.00088549 0.42930277 0.07966527 0.0008817  0.42062007 0.06864469],[[ 0.78423405 -0.09282717]  [-0.09282717  0.69009937]] [[0.09713871 0.04643936]  [0.04643936 0.99468517]] [[ 0.79990696 -0.09345984]  [-0.09345984  0.74647329]] [[0.08118722 0.10917146]  [0.10917146 1.10947541]],4,"{0: 0, 1: 588, 2: 6, 3: 0, 4: 596, 5: 10}",0,0,0,1
1087,contextless,1.6e-07,363,300,3000,6,True,0.49095875163993,0.9671828474867656,4,3,[0.64259038 0.81393103] [1.1740014  5.09683594] [2.45440473 0.08293912] [1.57989936 5.00123501],[0.01897391 0.43151185 0.00088081 0.00087938 0.48287292 0.06488113],[[ 0.51554507 -0.32300872]  [-0.32300872  2.99264775]] [[ 0.77432429 -0.09464525]  [-0.09464525  0.69151977]] [[ 0.63975742 -0.08774484]  [-0.08774484  0.72196062]] [[0.11419421 0.0232351 ]  [0.0232351  1.09852256]],4,"{0: 16, 1: 594, 2: 0, 3: 0, 4: 586, 5: 4}",1,0,1,1
1088,context,1.6e-07,363,300,3000,6,True,0.4997644734934881,0.7380778183473233,4,4,[1.24897172 0.09342699] [1.1655168  5.09164068] [2.31024212 0.10180462] [1.57246355 5.00582672],[2.39698727e-01 4.27846623e-01 8.81303521e-04 2.61428273e-01 7.01450733e-02 1.30869126e-10],[[ 0.86588339 -0.10159693]  [-0.10159693  0.85734163]] [[ 0.78402261 -0.09265211]  [-0.09265211  0.69447474]] [[ 0.72115963 -0.0909762 ]  [-0.0909762   0.71929867]] [[0.09857902 0.06748312]  [0.06748312 1.09313932]],4,"{0: 269, 1: 592, 2: 0, 3: 333, 4: 6, 5: 0}",1,0,1,1
1089,base,1.6e-07,364,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.23526489 0.05106578] [1.23455454 5.04216359],[5.00663500e-01 8.83571559e-04 4.98452929e-01 1.32779090e-10 2.12446517e-17 3.39914377e-24],[[ 0.69637871 -0.01131016]  [-0.01131016  0.69497035]] [[ 0.69667706 -0.01131129]  [-0.01131129  0.68883909]],2,"{0: 600, 1: 0, 2: 600, 3: 0, 4: 0, 5: 0}",0,0,0,2
1090,contextless,1.6e-07,364,300,3000,6,True,0.4431952155097671,0.7987650904913954,4,3,[0.4687938  2.04388915] [1.23669846 5.04396713] [2.98641465 0.59788885] [ 2.23058512 -0.17114274],[5.96585941e-03 4.98882170e-01 8.81933566e-04 1.37154766e-01 3.57115271e-01 1.32357291e-10],[[ 0.87375807 -0.17814221]  [-0.17814221  1.71010837]] [[ 0.69724552 -0.01730329]  [-0.01730329  0.68792349]] [[ 0.51695201 -0.24554812]  [-0.24554812  0.44307711]] [[ 0.58764994 -0.08482681]  [-0.08482681  0.63048817]],4,"{0: 2, 1: 600, 2: 0, 3: 164, 4: 434, 5: 0}",1,0,1,2
1091,context,1.6e-07,364,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.23488974 5.04219061] [1.82861027 0.05102606],[8.84940150e-04 4.99675465e-01 8.82567207e-04 4.98557027e-01 1.32668985e-10 2.12270345e-17],[[ 0.69731103 -0.01342628]  [-0.01342628  0.68889864]] [[ 1.06155116 -0.02527195]  [-0.02527195  0.69491294]],2,"{0: 0, 1: 600, 2: 0, 3: 600, 4: 0, 5: 0}",0,0,0,2
1092,base,1.6e-07,365,300,3000,6,True,0.4993736951983298,1.0,2,2,[ 1.29182056 -0.01844639] [1.29181103 4.97298603],[5.00438202e-01 4.99561798e-01 1.33000623e-10 2.12800972e-17 3.40481511e-24 5.44770337e-31],[[0.76223827 0.02093951]  [0.02093951 0.59670456]] [[0.76224821 0.02091544]  [0.02091544 0.59619034]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,6
1093,contextless,1.6e-07,365,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.29265238 4.97292829] [ 2.47506854 -0.01886213],[0.00088996 0.49991142 0.00088879 0.00088596 0.00088436 0.49653951],[[0.763406   0.01626959]  [0.01626959 0.59666409]] [[ 0.7707843  -0.01317501]  [-0.01317501  0.59601981]],2,"{0: 0, 1: 600, 2: 0, 3: 0, 4: 0, 5: 600}",0,0,0,6
1094,context,1.6e-07,365,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.29226042 4.9729768 ] [ 1.88335764 -0.01855462],[8.88892363e-04 4.99961471e-01 4.99149637e-01 1.32889875e-10 2.12623773e-17 3.40197986e-24],[[0.76281569 0.01853604]  [0.01853604 0.59627271]] [[1.11592343 0.00371358]  [0.00371358 0.59650596]],2,"{0: 0, 1: 600, 2: 600, 3: 0, 4: 0, 5: 0}",0,0,0,6
1095,base,1.6e-07,366,300,3000,6,True,0.4960389968041097,0.9933388891944936,2,2,[1.23918208 4.95359879] [ 1.24856072 -0.03521765],[4.98160785e-01 5.01839215e-01 1.33001628e-10 2.12802579e-17 3.40484082e-24 5.44774451e-31],[[ 0.69340111 -0.05746821]  [-0.05746821  0.7985589 ]] [[ 0.69919194 -0.05780496]  [-0.05780496  0.8473173 ]],2,"{0: 598, 1: 602, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,1
1096,contextless,1.6e-07,366,300,3000,6,True,0.4592188271996045,0.8781427810036938,4,4,[1.24500862 4.9727168 ] [1.43131828 0.06128162] [0.58658362 2.47412771] [ 2.62164775 -0.07095251],[4.92338333e-01 7.95876601e-02 1.22567445e-02 8.89082988e-04 4.14928179e-01 1.32218184e-10],[[ 0.68210176 -0.06308688]  [-0.06308688  0.76946377]] [[0.27623754 0.11083054]  [0.11083054 1.07576475]] [[ 0.85213709 -0.50041709]  [-0.50041709  1.57620667]] [[ 0.56701945 -0.12016751]  [-0.12016751  0.79201517]],4,"{0: 594, 1: 70, 2: 8, 3: 0, 4: 528, 5: 0}",1,0,1,1
1097,context,1.6e-07,366,300,3000,6,True,0.4893867957023618,0.9933388896623734,2,2,[1.23657444 4.95746222] [ 1.82963429 -0.03148236],[4.97398653e-01 5.02601346e-01 1.33001962e-10 2.12803114e-17 3.40484937e-24 5.44775819e-31],[[ 0.69226934 -0.05231857]  [-0.05231857  0.79003566]] [[ 1.06049652 -0.09791236]  [-0.09791236  0.85522863]],2,"{0: 594, 1: 606, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,1
1098,base,1.6e-07,367,300,3000,6,True,0.4894085164971616,1.0,2,2,[1.27831447 5.03353594] [1.28682236 0.04116339],[4.99207613e-01 5.00792387e-01 1.33001167e-10 2.12801842e-17 3.40482903e-24 5.44772565e-31],[[0.60515317 0.04721091]  [0.04721091 0.73236134]] [[0.60113957 0.04501413]  [0.04501413 0.75876461]],2,"{0: 598, 1: 602, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,5
1099,contextless,1.6e-07,367,300,3000,6,True,0.4861126606355834,0.9933388889506688,2,2,[2.47947996 0.03748018] [1.27296824 5.02803305],[8.98631362e-04 5.00219626e-01 8.97451715e-04 4.97984291e-01 1.32668483e-10 2.12269542e-17],[[0.59522644 0.02565961]  [0.02565961 0.75348099]] [[0.6137741  0.05901618]  [0.05901618 0.74766389]],2,"{0: 0, 1: 600, 2: 0, 3: 600, 4: 0, 5: 0}",0,0,0,5
1100,context,1.6e-07,367,300,3000,6,True,0.4894085164971616,1.0,2,2,[1.87955698 0.04272881] [1.27778157 5.03488893],[8.94796527e-04 5.01468545e-01 4.97636658e-01 1.32889202e-10 2.12622696e-17 3.40196264e-24],[[0.95999743 0.02767751]  [0.02767751 0.7627647 ]] [[0.60525233 0.04705461]  [0.04705461 0.72985925]],2,"{0: 0, 1: 602, 2: 598, 3: 0, 4: 0, 5: 0}",0,0,0,5
