Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
base,1.6e-07,175,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.32295671 4.98393925] [ 1.33076641 -0.00662617],[5.00259572e-01 4.99740428e-01 1.33000702e-10 2.12801099e-17 3.40481713e-24 5.44770661e-31],[[ 0.75204449 -0.02010042]  [-0.02010042  0.73469186]] [[ 0.75916951 -0.02077979]  [-0.02077979  0.73810228]],2,"{0: 598, 1: 602, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,175,300,3000,6,True,0.49272092785896543,0.9933388889506688,2,2,[1.32085583 4.9807062 ] [ 2.50612216 -0.0101064 ],[0.50081248 0.00089168 0.00089007 0.00088845 0.00088826 0.49562906],[[ 0.7513984  -0.0170605 ]  [-0.0170605   0.74246205]] [[ 0.77477331 -0.07382054]  [-0.07382054  0.73078643]],2,"{0: 600, 1: 0, 2: 0, 3: 0, 4: 0, 5: 600}",0,0,0
context,1.6e-07,175,300,3000,6,True,0.49272092785896543,0.9933388889506688,2,2,[1.32181684 4.98417692] [ 1.9176838  -0.00654315],[5.00227422e-01 4.99772578e-01 1.33000717e-10 2.12801122e-17 3.40481749e-24 5.44770720e-31],[[ 0.75135774 -0.01834741]  [-0.01834741  0.73399301]] [[ 1.11189479 -0.04900742]  [-0.04900742  0.73803069]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,176,300,3000,6,True,0.49937369519832986,1.0,2,2,[1.23138876 5.02949998] [1.23099935 0.03951311],[8.97253561e-04 8.97578027e-04 8.95614994e-04 4.99173590e-01 4.98135963e-01 1.32668547e-10],[[ 0.64019012 -0.02819601]  [-0.02819601  0.75238661]] [[ 0.6359193  -0.02791332]  [-0.02791332  0.75011798]],2,"{0: 0, 1: 0, 2: 0, 3: 600, 4: 600, 5: 0}",0,0,0
contextless,1.6e-07,176,300,3000,6,True,0.4968738620390364,0.9900916543467262,3,3,[1.23433312 5.03784659] [2.4305975 0.0109855] [0.76018598 2.1026874 ],[8.90451904e-04 4.97261714e-01 4.90114532e-01 1.17333027e-02 1.24105934e-10 1.98569465e-17],[[ 0.64005296 -0.03431299]  [-0.03431299  0.74110749]] [[ 0.63792678 -0.04368845]  [-0.04368845  0.70530865]] [[ 0.48542277 -0.16357475]  [-0.16357475  1.60641705]],3,"{0: 0, 1: 600, 2: 594, 3: 6, 4: 0, 5: 0}",0,0,0
context,1.6e-07,176,300,3000,6,True,0.49937369519832986,1.0,2,2,[1.23054918 5.02755015] [1.81641162 0.03765101],[8.96012194e-04 5.00453230e-01 4.98650757e-01 1.32889653e-10 2.12623417e-17 3.40197418e-24],[[ 0.64027754 -0.0271794 ]  [-0.0271794   0.7563458 ]] [[ 1.0012847  -0.05796027]  [-0.05796027  0.74563212]],2,"{0: 0, 1: 600, 2: 600, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,177,300,3000,6,True,0.4951655510073193,0.9834637594407365,3,3,[1.2614547  5.07052595] [2.28175985 3.05931247] [1.28286418 0.03246623],[4.87723415e-01 1.77266546e-02 4.94549930e-01 1.32782920e-10 2.12452644e-17 3.39924181e-24],[[0.74189375 0.04953794]  [0.04953794 0.68628449]] [[0.32986809 0.27121257]  [0.27121257 1.87464423]] [[0.76135378 0.00130526]  [0.00130526 0.72657248]],3,"{0: 592, 1: 10, 2: 598, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,177,300,3000,6,True,0.4960389968041097,0.9933388889506688,2,2,[2.46970522 0.0511045 ] [1.28748049 5.04029596],[9.03629021e-04 8.99539836e-04 5.00812683e-01 4.97384148e-01 1.32778608e-10 2.12445741e-17],[[ 0.76865778 -0.03155717]  [-0.03155717  0.75805409]] [[0.76398554 0.0163292 ]  [0.0163292  0.72950788]],2,"{0: 0, 1: 0, 2: 602, 3: 598, 4: 0, 5: 0}",0,0,0
context,1.6e-07,177,300,3000,6,True,0.4960389968041097,0.9933388889506688,2,2,[1.88001498 0.05110667] [1.28859966 5.0411265 ],[8.95348419e-04 8.97632614e-04 5.00901125e-01 4.97305894e-01 1.32778575e-10 2.12445689e-17],[[ 1.1127705  -0.00853585]  [-0.00853585  0.75701051]] [[0.76297194 0.01457473]  [0.01457473 0.72630819]],2,"{0: 0, 1: 0, 2: 602, 3: 598, 4: 0, 5: 0}",0,0,0
base,1.6e-07,178,300,3000,6,True,0.3720350042960831,0.6052413944670055,4,4,[2.36175165 4.5906137 ] [ 2.11215331 -0.23560036] [1.10419478 5.14619583] [0.90864142 0.21724904],[9.77669792e-02 1.78338670e-01 4.03886090e-01 3.20008261e-01 1.32602378e-10 2.12163775e-17],[[0.28174058 0.25995105]  [0.25995105 0.88029737]] [[0.38287342 0.14354488]  [0.14354488 0.698803  ]] [[0.60247144 0.06050899]  [0.06050899 0.62343909]] [[0.49526302 0.0994698 ]  [0.0994698  0.61793359]],4,"{0: 126, 1: 210, 2: 476, 3: 388, 4: 0, 5: 0}",2,1,1
