,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
30,0.16666666666666666,10,250,1000,6,True,0.449260977103254,5,5,[3.73233984 0.94217485] [0.83205959 1.34205047] [4.46676144 3.57767581] [3.53328658 4.27141314] [0.94592651 4.16963849],[0.00107548 0.27134016 0.19855631 0.17635637 0.16045068 0.192221  ],[[1.96441557 0.33333943]  [0.33333943 1.18741673]] [[1.04499905 0.37218409]  [0.37218409 1.66677221]] [[1.90936274 0.77118694]  [0.77118694 1.98413344]] [[1.03417096 0.30073858]  [0.30073858 1.44869806]] [[0.99593387 0.20716506]  [0.20716506 1.36837008]],6,"{0: 0, 1: 284, 2: 210, 3: 136, 4: 174, 5: 196}",4,3,1
31,0.16666666666666666,11,250,1000,6,True,0.504736386671722,4,4,[4.20131445 3.44015976] [0.9444052  0.69008659] [1.21412133 3.72911213] [3.89545522 0.55589369],[2.91441491e-01 2.26759809e-01 3.25995076e-01 1.06300922e-03 1.54600093e-01 1.40521297e-04],[[1.22420128 0.31424361]  [0.31424361 2.33735695]] [[1.32480846 0.16562512]  [0.16562512 1.03341788]] [[1.73807228 0.21699193]  [0.21699193 1.47776211]] [[1.01153858 0.11028465]  [0.11028465 0.99333948]],5,"{0: 289, 1: 241, 2: 309, 3: 0, 4: 161, 5: 0}",2,1,1
32,0.16666666666666666,12,250,1000,6,True,0.5313070748338464,4,4,[3.63655002 3.79667866] [0.64760693 1.02883056] [3.58492813 0.79186134] [0.70045825 4.03483875],[3.61991488e-01 1.99894238e-01 2.53531222e-01 1.84421333e-01 1.41506784e-04 2.02124108e-05],[[1.91081998 0.18274769]  [0.18274769 1.8949484 ]] [[1.0444563  0.16440781]  [0.16440781 1.22167438]] [[1.75065274 0.16140462]  [0.16140462 1.07943353]] [[1.02612386 0.09416797]  [0.09416797 1.05525062]],4,"{0: 346, 1: 209, 2: 252, 3: 193, 4: 0, 5: 0}",2,1,1
33,0.16666666666666666,13,250,1000,6,True,0.4240642542942957,4,4,[1.18752705 3.65239971] [3.69941538 1.15571196] [4.34766402 4.3962673 ] [0.83133966 0.77608978],[3.56598290e-01 3.56885312e-01 1.33577255e-01 1.52777793e-01 1.41183225e-04 2.01661953e-05],[[1.9862255  0.8011346 ]  [0.8011346  2.18461436]] [[2.03613436 0.8502181 ]  [0.8502181  2.37359028]] [[1.07163319 0.57268072]  [0.57268072 1.08190406]] [[1.57188495 0.94036142]  [0.94036142 1.20706205]],4,"{0: 356, 1: 352, 2: 139, 3: 153, 4: 0, 5: 0}",2,1,1
34,0.16666666666666666,14,250,1000,6,True,0.5082677454258684,4,4,[3.55043618 1.27610932] [0.57271785 1.18752383] [1.01570712 4.11149194] [3.97929665 4.22560164],[3.64843981e-01 2.22321387e-01 2.30954990e-01 1.06412293e-03 1.80674812e-01 1.40707823e-04],[[1.72567258 0.46666575]  [0.46666575 1.96830699]] [[0.96494958 0.50680869]  [0.50680869 2.00175941]] [[1.36140135 0.34886368]  [0.34886368 1.37828824]] [[1.10466325 0.37262128]  [0.37262128 1.29379677]],5,"{0: 360, 1: 218, 2: 238, 3: 0, 4: 184, 5: 0}",2,1,1
35,0.16666666666666666,15,250,1000,6,True,0.5415324319862828,4,4,[0.88372932 3.79739462] [0.73296548 0.79432983] [3.6978815  0.95440137] [3.81836426 3.92521353],[2.63785271e-01 1.07380224e-03 1.94916110e-01 2.64027210e-01 2.76055945e-01 1.41661635e-04],[[1.57384724 0.32774972]  [0.32774972 1.43324703]] [[1.57303278 0.29825025]  [0.29825025 1.03011864]] [[1.94853542 0.33443817]  [0.33443817 1.14724474]] [[1.81231675 0.36666344]  [0.36666344 1.39410558]],5,"{0: 263, 1: 0, 2: 200, 3: 263, 4: 274, 5: 0}",2,1,1
36,0.16666666666666666,16,250,1000,6,True,0.5726783267186821,4,4,[3.9015828  1.07109967] [0.85548705 1.03094504] [4.09756304 3.95096342] [1.2338451 4.0894596],[0.27285239 0.00107359 0.21902971 0.2429163  0.00106581 0.26306219],[[1.69492047 0.4867228 ]  [0.4867228  1.44877429]] [[1.23176785 0.42472967]  [0.42472967 1.52092324]] [[1.55687384 0.63885529]  [0.63885529 1.59741334]] [[1.73137553 0.48248928]  [0.48248928 1.45155758]],6,"{0: 269, 1: 0, 2: 224, 3: 247, 4: 0, 5: 260}",2,1,1
37,0.16666666666666666,17,250,1000,6,True,0.5066416306737143,6,5,[4.22132558 1.30880859] [1.17011361 3.77281985] [-0.62361151  1.37037157] [1.11151165 1.0859614 ] [2.01664059 0.3669864 ] [4.32490666 4.31585349],[0.25650805 0.34352003 0.00442325 0.14114397 0.06255173 0.19185298],[[1.26916353 0.39434259]  [0.39434259 1.63363999]] [[1.45119072 0.59460485]  [0.59460485 2.10742833]] [[7.42113064 2.64079371]  [2.64079371 2.95719137]] [[1.32407044 0.99900082]  [0.99900082 1.28818808]] [[0.68449116 0.22372564]  [0.22372564 1.2971852 ]] [[0.97691655 0.4306614 ]  [0.4306614  1.41947107]],6,"{0: 259, 1: 333, 2: 2, 3: 167, 4: 42, 5: 197}",6,1,5
38,0.16666666666666666,18,250,1000,6,True,0.3604718114165298,6,6,[0.86279156 3.33164803] [1.50305567 0.62685671] [3.96492405 2.63395303] [3.75219255 4.67490671] [-0.31347275  3.0990635 ] [4.18682955 0.75067697],[0.22181255 0.27272983 0.16509729 0.20384601 0.01833192 0.1181824 ],[[ 0.71614905 -0.03900069]  [-0.03900069  2.26827633]] [[3.01767442 0.20958543]  [0.20958543 1.56668155]] [[ 1.75988283 -0.07945821]  [-0.07945821  0.64976451]] [[1.97995892 0.13249852]  [0.13249852 0.8336074 ]] [[ 3.04896273 -0.7906676 ]  [-0.7906676   1.07958161]] [[ 1.05359198 -0.00437815]  [-0.00437815  1.13378012]],6,"{0: 235, 1: 266, 2: 184, 3: 195, 4: 7, 5: 113}",4,2,1
39,0.16666666666666666,19,250,1000,6,True,0.5478672249817313,4,4,[1.23847429 3.92423172] [3.9553367  1.25780769] [4.24494247 4.25155028] [0.96362011 0.94074846],[0.00107631 0.30199041 0.28207051 0.19688526 0.00106445 0.21691305],[[1.66753859 0.4339183 ]  [0.4339183  1.5205869 ]] [[1.5392099  0.45186665]  [0.45186665 1.55937544]] [[1.29184736 0.43747346]  [0.43747346 1.2902661 ]] [[1.43312436 0.47227382]  [0.47227382 1.3362611 ]],6,"{0: 0, 1: 296, 2: 285, 3: 198, 4: 0, 5: 221}",2,1,1
