Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
0.16666666666666666,12,250,1000,6,True,0.7939540934750948,4,4,[3.86029533 3.96450604] [0.89542836 0.98832275] [0.89001073 3.9956939 ] [3.863715   0.95082024],[2.84578517e-01 2.32481378e-01 1.06930054e-03 2.31025077e-01 2.50704258e-01 1.41469531e-04],[[ 0.89384399 -0.04673406]  [-0.04673406  0.82778738]] [[ 0.62723005 -0.04775036]  [-0.04775036  0.64810764]] [[ 0.59002206 -0.06698116]  [-0.06698116  0.67483854]] [[ 0.83442947 -0.05897606]  [-0.05897606  0.5954662 ]],5,"{0: 277, 1: 234, 2: 0, 3: 234, 4: 255, 5: 0}",2,1,1
0.16666666666666666,13,250,1000,6,True,0.7517998813725025,4,4,[1.02144989 3.97385244] [3.91088732 0.96516905] [4.0007864  4.05110256] [0.98757334 1.01762911],[2.66843556e-01 2.82012993e-01 2.15804064e-01 2.35177440e-01 1.41706184e-04 2.02409436e-05],[[0.90530601 0.23734513]  [0.23734513 0.86926234]] [[1.01702386 0.37688482]  [0.37688482 1.11170672]] [[0.67209318 0.25880123]  [0.25880123 0.66568128]] [[0.80137908 0.30184805]  [0.30184805 0.66694582]],4,"{0: 258, 1: 275, 2: 222, 3: 245, 4: 0, 5: 0}",2,1,1
0.16666666666666666,14,250,1000,6,True,0.8226805739466848,4,4,[3.81031863 1.00087916] [0.94562202 3.98845349] [0.8400171  1.01859205] [3.9262047  3.98248834],[2.68207303e-01 2.47180697e-01 2.40314336e-01 1.06508289e-03 2.43091404e-01 1.41177583e-04],[[0.76113658 0.06814402]  [0.06814402 0.85077704]] [[0.63950628 0.0435036 ]  [0.0435036  0.77502521]] [[0.56468709 0.09595782]  [0.09595782 0.84778737]] [[0.64126672 0.05654285]  [0.05654285 0.76921363]],5,"{0: 264, 1: 248, 2: 242, 3: 0, 4: 246, 5: 0}",2,1,1
0.16666666666666666,15,250,1000,6,True,0.7786802500801154,4,4,[0.82895676 3.88833981] [3.75627109 0.97541492] [3.78742495 3.95080097] [0.79676709 0.91897537],[2.40690418e-01 2.66447195e-01 2.82464837e-01 2.10235643e-01 1.41670264e-04 2.02357702e-05],[[0.71991504 0.00696387]  [0.00696387 0.75719576]] [[1.09529366 0.02259707]  [0.02259707 0.59065278]] [[1.03151221 0.03180942]  [0.03180942 0.72221604]] [[0.75668509 0.03510653]  [0.03510653 0.55706702]],4,"{0: 241, 1: 263, 2: 284, 3: 212, 4: 0, 5: 0}",2,1,1
0.16666666666666666,16,250,1000,6,True,0.8035084467796608,4,4,[0.99462078 1.04045871] [4.02763144 4.00711198] [3.97599526 1.04526222] [1.06233358 4.03012397],[0.0010746  0.00107515 0.23615804 0.2506258  0.25983546 0.25123096],[[0.67721355 0.13659705]  [0.13659705 0.74167745]] [[0.79527608 0.15306565]  [0.15306565 0.7614859 ]] [[0.84027054 0.11263395]  [0.11263395 0.75587185]] [[0.8135199  0.13637204]  [0.13637204 0.7891141 ]],6,"{0: 0, 1: 0, 2: 237, 3: 250, 4: 262, 5: 251}",2,1,1
0.16666666666666666,17,250,1000,6,True,0.8200000694773649,5,4,[4.06110342 1.08146306] [0.08668446 1.95832385] [1.07905516 1.06493435] [1.06070648 4.03570739] [4.04311713 4.0620367 ],[2.48699137e-01 4.28099468e-03 2.37141566e-01 2.57543165e-01 2.52193533e-01 1.41604176e-04],[[0.72446285 0.09950258]  [0.09950258 0.80168815]] [[4.51327773 0.98512259]  [0.98512259 2.0618337 ]] [[0.66860946 0.10187479]  [0.10187479 0.73496053]] [[0.6373934  0.06958187]  [0.06958187 0.88714269]] [[0.65241204 0.10419404]  [0.10419404 0.86016332]],5,"{0: 250, 1: 2, 2: 240, 3: 252, 4: 256, 5: 0}",4,1,3
0.16666666666666666,18,250,1000,6,True,0.752274448258639,4,4,[1.06542234 3.90012076] [4.11190439 1.06164227] [4.07890041 4.0094348 ] [1.09820334 0.95330845],[0.26895635 0.25192278 0.22406774 0.00106617 0.00106152 0.25292544],[[0.93229849 0.09223786]  [0.09223786 0.91228351]] [[0.70848515 0.08040996]  [0.08040996 0.94202468]] [[0.68687188 0.09312464]  [0.09312464 0.74766372]] [[0.88693841 0.12054377]  [0.12054377 0.85481486]],6,"{0: 270, 1: 249, 2: 224, 3: 0, 4: 0, 5: 257}",2,1,1
0.16666666666666666,19,250,1000,6,True,0.8106399846818904,4,4,[1.09327234 4.06957534] [1.05040687 1.08681679] [4.05878635 4.08289251] [4.02082022 1.10904718],[1.07507974e-03 2.56272975e-01 2.55949763e-01 2.33876989e-01 2.52683559e-01 1.41634787e-04],[[0.83877166 0.11521987]  [0.11521987 0.6866787 ]] [[0.77735995 0.13471613]  [0.13471613 0.73651871]] [[0.71058651 0.13329996]  [0.13329996 0.66800575]] [[0.74676276 0.10976566]  [0.10976566 0.76019674]],5,"{0: 0, 1: 255, 2: 260, 3: 235, 4: 250, 5: 0}",2,1,1
1,0,250,1000,6,True,0.7865709147859277,4,4,[3.99856366 1.0604533 ] [0.98924594 4.01148792] [1.01116939 1.01930311] [3.98076468 4.07486988],[2.47635204e-01 2.55869653e-01 2.28749755e-01 2.66976010e-01 5.14738430e-04 2.54639607e-04],[[0.83333775 0.07516241]  [0.07516241 0.71975805]] [[0.71231514 0.0691856 ]  [0.0691856  0.81554639]] [[0.74154709 0.09819028]  [0.09819028 0.59292429]] [[0.85663079 0.10669714]  [0.10669714 0.85119443]],4,"{0: 250, 1: 249, 2: 234, 3: 267, 4: 0, 5: 0}",2,1,1
1,1,250,1000,6,True,0.8774953333084698,5,4,[1.05429    1.04976543] [2.45972964 5.03081333] [4.04276835 1.05167658] [4.05194406 4.04960449] [1.06031212 4.04720205],[0.25358407 0.00107102 0.00570522 0.25281333 0.24189768 0.24492868],[[0.57158196 0.12112788]  [0.12112788 0.69632618]] [[ 1.81082692 -0.10831355]  [-0.10831355  4.00837532]] [[0.5652127  0.11476023]  [0.11476023 0.70621463]] [[0.55794549 0.12498017]  [0.12498017 0.60841555]] [[0.56464831 0.09285172]  [0.09285172 0.63912079]],6,"{0: 248, 1: 0, 2: 3, 3: 250, 4: 249, 5: 250}",4,3,1
